,dots_exten,X,Y
0,0.164904,168.7979166666571,-46.58083333900163
1,0.124932,168.34874999999045,-46.44708333475944
2,1.21337,168.33708333332402,-46.41875000142471
3,0.121138,168.02124999999046,-46.357916668088365
4,0.197533,169.81124999999054,-46.3437500014208
5,0.179718,170.1970833333237,-46.05291666807267
6,0.382871,170.3920833333234,-45.92875000139975
7,0.144652,170.50958333332358,-45.888750001397625
8,0.593496,170.51708333332385,-45.875416668063735
9,0.236202,171.25958333332346,-44.42166667191185
10,0.102279,171.25708333332352,-44.36125000132256
11,0.129572,171.350416666657,-44.28125000131877
12,0.376397,172.3787499999903,-43.85625000129852
13,2.26848,172.75041666665675,-43.5512500012843
14,2.85002,172.72458333332338,-43.48791666794807
15,0.503895,172.70708333332357,-43.391250001276774
16,0.207065,147.33791666665775,-42.88375000125353
17,0.10896,147.45791666665787,-42.77791666791535
18,0.499766,171.19208333332335,-42.43875000123336
19,0.362587,174.06208333332324,-41.50125000119209
20,0.446126,174.88541666665674,-41.41124999444696
21,0.384108,175.12458333332347,-41.37041666785308
22,0.247236,174.77291666665656,-41.343333338027264
23,0.298863,174.67791666665676,-41.34041666785157
24,0.253982,174.80541666665658,-41.32958333451796
25,0.165286,173.21874999999,-41.30791666785029
26,0.306686,173.2195833333235,-41.29791666784996
27,1.08666,174.78041666665683,-41.287083334516126
28,0.836801,173.2862499999901,-41.26291666784829
29,1.20911,174.78874999999005,-41.26375001003271
30,0.617929,174.81458333332353,-41.247916667847676
31,2.08366,174.90041666665684,-41.23875000118062
32,2.42931,174.89624999999023,-41.23625000118062
33,0.119185,174.8879166666568,-41.23041666784684
34,0.271711,146.36458333332462,-41.17541666784456
35,1.99405,174.86291666665704,-41.09541666784122
36,0.165719,174.86541666665676,-41.09583333798537
37,0.56945,174.98041666665665,-40.891250001165645
38,0.1993,175.00708333332375,-40.87375000116498
39,0.113427,175.12374999998997,-40.72791666782547
40,0.412065,175.18291666665687,-40.59458333448646
41,1.26618,175.23624999999015,-40.474583334481395
42,0.214379,175.2279166666567,-40.29458333447383
43,1.28799,174.98916666665684,-39.94624999724522
44,0.138492,174.48958333332337,-39.772083334452134
45,0.131471,176.94541666665668,-39.59791666777835
46,0.121175,174.1954166666569,-39.586250001111125
47,1.10677,176.92874999999026,-39.56791666777701
48,0.259979,176.91958333332343,-39.53375000110901
49,0.313279,176.89416666325894,-39.47916667047775
50,0.195353,174.0187499999903,-39.06791666775666
51,0.483597,174.04499999999007,-39.05874999815313
52,0.828541,174.07208333332323,-39.05541666775616
53,0.500877,174.09041666665678,-39.049583334422664
54,0.202675,177.4304166666567,-39.04875000108939
55,0.324303,174.10791666665682,-39.03625000108889
56,0.160131,174.14541666665707,-39.01875000108811
57,0.120989,174.1833333333234,-38.99541666490046
58,0.239999,174.22958333332326,-38.987916667753495
59,0.104636,177.93583333719357,-38.71000000333464
60,0.617042,178.02291666665678,-38.6745833344076
61,0.110947,142.36874999999156,-38.34875000106132
62,0.116891,141.61541666665823,-38.347916667727986
63,0.338561,145.12041666665823,-38.07291666771715
64,0.19372,147.45874999999126,-38.063750001050096
65,4.33865,145.08541666665815,-38.0112500010481
66,0.202907,144.61291666665807,-38.00125000104765
67,0.246314,177.27624999999,-37.992083334380595
68,0.835071,177.00541666665663,-37.94291666771204
69,0.270435,176.88041666665674,-37.90958333437743
70,0.364923,176.78874999999005,-37.89041666771004
71,0.178359,144.82041666665782,-37.872083334375986
72,0.167795,176.48874999998986,-37.776250001038875
73,1.40976,176.41791666665677,-37.74875000103776
74,0.228067,176.15291666665667,-37.72375000103676
75,0.148702,176.18291666665664,-37.72041666770332
76,0.188227,176.11958333332313,-37.6787500010351
77,0.69369,176.17208333332314,-37.67375000103493
78,0.118515,176.1212499999899,-37.67208333436821
79,2.56115,174.77374999999006,-37.343750001022215
80,0.536852,175.56124999998997,-37.18458333434944
81,0.330453,175.49874999998997,-37.181250001015826
82,0.506251,174.90291666665712,-37.07125000101172
83,0.146072,174.92291666665676,-37.059583334344666
84,0.301369,174.8712499999899,-37.04791666767744
85,0.431497,174.90624999999,-37.04375000101072
86,1.51429,174.8379166666566,-37.02125000100983
87,0.103112,174.8104166666567,-37.005416667675945
88,2.78419,174.78749999999036,-36.93375000177792
89,0.369949,174.7720833333235,-36.92375000100611
90,3.35017,174.8620833333232,-36.907083334338836
91,0.585381,174.87208333332353,-36.88291666767128
92,2.7519,174.69708333332358,-36.87041666767067
93,0.414122,174.80458333332354,-36.86208333433706
94,1.34433,174.7920833333235,-36.86125000100378
95,1.97051,174.6587499999904,-36.85791666767017
96,1.92827,174.65708333332327,-36.852083334336726
97,2.93315,174.70958333332328,-36.852083334336726
98,0.803553,174.64083333871952,-36.827500001921294
99,0.121985,174.76624999999,-36.80041666766806
100,0.526653,174.67374999998992,-36.787083334334284
101,0.368638,174.6795833333233,-36.787083334334284
102,0.669956,174.76874999999006,-36.767916667666896
103,0.101824,174.72791666665705,-36.64458333432884
